#,id,nome,marcaId,ano,preco,km,transmissao,imagem,descricao,tipo
1,16,Kwid,4,2019,149627.0,38056,Manual,https://s2-autoesporte.glbimg.com/GsjfziLoXilHg1Qfz3rRbe7iyrw=/0x0:6317x4211/1008x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2019/x/Q/jABU5NQ9mCdXhYJUZC6Q/renault-kwid-outsider-028.jpg,"Compacto econômico em ótimo estado de conservação. Perfeito para o dia a dia, com ar-condicionado, direção elétrica, vidros e travas elétricas, central multimídia com conectividade smartphone, computador de bordo, sensor de estacionamento e design moderno. Mecânica confiável, pintura sem detalhes e pneus em excelente condição.",Hatch
2,18,S10,9,2023,160324.0,11900,Manual,"https://s2-autoesporte.glbimg.com/1riSkhtboCZdSu6oz7BTIk8MPOM=/0x0:1300x827/888x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_cf9d035bf26b4646b105bd958f32089d/internal_photos/bs/2022/C/j/Gd5C2XTU2qxPrtmFR6VA/2023-chevrolet-colorado-z71-026.jpg
","Hatch premium com design moderno e pacote tecnológico completo. Possui central multimídia avançada, ar-condicionado digital, rodas de liga leve, faróis full LED, câmera de ré, sensor de estacionamento, acabamento interno sofisticado e excelente dirigibilidade. Veículo seminovo em estado impecável, revisões em dia e ótimo custo-benefício.",Picape
3,7,SW4,7,2022,117754.0,27201,Automático,"https://image1.mobiauto.com.br/images/api/images/v1.0/273060686/transform/fl_progressive,f_webp,q_80","Hatch premium com design moderno e pacote tecnológico completo. Possui central multimídia avançada, ar-condicionado digital, rodas de liga leve, faróis full LED, câmera de ré, sensor de estacionamento, acabamento interno sofisticado e excelente dirigibilidade. Veículo seminovo em estado impecável, revisões em dia e ótimo custo-benefício.",SUV
4,25,Commander,3,2022,190088.0,41522,Automático,https://s2-autoesporte.glbimg.com/9sVkKf-lmp5aN3Od7Q6cXqxc_nw=/0x0:1500x928/924x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_cf9d035bf26b4646b105bd958f32089d/internal_photos/bs/2021/d/q/Sq28f3RG6JS9VUKEAeWQ/jeep-commander-overland-td4x4-0009.jpg,"Compacto econômico em ótimo estado de conservação. Perfeito para o dia a dia, com ar-condicionado, direção elétrica, vidros e travas elétricas, central multimídia com conectividade smartphone, computador de bordo, sensor de estacionamento e design moderno. Mecânica confiável, pintura sem detalhes e pneus em excelente condição.",SUV
5,14,308,6,2019,92050.0,9570,Automático,https://image.webmotors.com.br/_fotos/anunciousados/gigante/2025/202511/20251107/peugeot-308-1.6-allure-business-thp-16v-flex-4p-automatico-wmimagem11170216845.jpg,"Compacto econômico em ótimo estado de conservação. Perfeito para o dia a dia, com ar-condicionado, direção elétrica, vidros e travas elétricas, central multimídia com conectividade smartphone, computador de bordo, sensor de estacionamento e design moderno. Mecânica confiável, pintura sem detalhes e pneus em excelente condição.",Hatch
6,20,Yaris,7,2024,177403.0,41469,Automático,https://cdn.motor1.com/images/mgl/2NO6nM/s3/novo-toyota-yaris-2023.jpg,"Compacto econômico em ótimo estado de conservação. Perfeito para o dia a dia, com ar-condicionado, direção elétrica, vidros e travas elétricas, central multimídia com conectividade smartphone, computador de bordo, sensor de estacionamento e design moderno. Mecânica confiável, pintura sem detalhes e pneus em excelente condição.",Hatch
7,6,308,6,2019,115260.0,37051,Manual,https://img.olx.com.br/thumbs700x500/45/451564577700369.webp,"Compacto econômico em ótimo estado de conservação. Perfeito para o dia a dia, com ar-condicionado, direção elétrica, vidros e travas elétricas, central multimídia com conectividade smartphone, computador de bordo, sensor de estacionamento e design moderno. Mecânica confiável, pintura sem detalhes e pneus em excelente condição.",Hatch
8,22,Renegade,3,2021,212457.0,19849,Manual,https://s2-autoesporte.glbimg.com/PKPZoFmGNir4dZuiHjtyxpwcy4A=/0x0:1980x1320/924x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_cf9d035bf26b4646b105bd958f32089d/internal_photos/bs/2020/K/B/2XTT4uQ0elx739kirHKQ/jeep-renegade-33.jpeg,"SUV confortável e espaçoso, ideal para famílias. Equipado com central multimídia touch, piloto automático, controles de tração e estabilidade, ar-condicionado automático, direção elétrica, bancos confortáveis, porta-malas amplo e condução suave. Baixa quilometragem e histórico de manutenção comprovado.",SUV
9,5,Nivus,5,2019,114345.0,20619,Manual,https://s2-autoesporte.glbimg.com/OJJ3WND47aNqb2YDVl3oCBkUIC8=/0x0:1400x788/888x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_cf9d035bf26b4646b105bd958f32089d/internal_photos/bs/2022/5/o/uXl8E7R4GquYxcbcNpYQ/volkswagen-nivus-highline-.jpg,"Compacto econômico em ótimo estado de conservação. Perfeito para o dia a dia, com ar-condicionado, direção elétrica, vidros e travas elétricas, central multimídia com conectividade smartphone, computador de bordo, sensor de estacionamento e design moderno. Mecânica confiável, pintura sem detalhes e pneus em excelente condição.",SUV
10,2,Argo,2,2019,139007.0,26279,Automático,https://s2-autoesporte.glbimg.com/OH9xWBhFh6Ejp1IUUp0sknjXW4g=/0x0:5479x3652/1008x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2018/3/r/6qTeMpTGqEvyp2umw2FA/imagem-1-.jpg,"SUV confortável e espaçoso, ideal para famílias. Equipado com central multimídia touch, piloto automático, controles de tração e estabilidade, ar-condicionado automático, direção elétrica, bancos confortáveis, porta-malas amplo e condução suave. Baixa quilometragem e histórico de manutenção comprovado.",Hatch
